decrease,rowpos,colpos,treatment
57.0,1.0,1.0,D
95.0,2.0,1.0,E
8.0,3.0,1.0,B
69.0,4.0,1.0,H
92.0,5.0,1.0,G
90.0,6.0,1.0,F
15.0,7.0,1.0,C
2.0,8.0,1.0,A
84.0,1.0,2.0,C
6.0,2.0,2.0,B
127.0,3.0,2.0,H
36.0,4.0,2.0,D
51.0,5.0,2.0,E
2.0,6.0,2.0,A
69.0,7.0,2.0,F
71.0,8.0,2.0,G
87.0,1.0,3.0,F
72.0,2.0,3.0,H
5.0,3.0,3.0,A
39.0,4.0,3.0,E
22.0,5.0,3.0,D
16.0,6.0,3.0,C
72.0,7.0,3.0,G
4.0,8.0,3.0,B
130.0,1.0,4.0,H
4.0,2.0,4.0,A
114.0,3.0,4.0,E
9.0,4.0,4.0,C
20.0,5.0,4.0,F
24.0,6.0,4.0,G
10.0,7.0,4.0,B
51.0,8.0,4.0,D
43.0,1.0,5.0,E
28.0,2.0,5.0,D
60.0,3.0,5.0,G
5.0,4.0,5.0,A
17.0,5.0,5.0,C
7.0,6.0,5.0,B
81.0,7.0,5.0,H
71.0,8.0,5.0,F
12.0,1.0,6.0,A
29.0,2.0,6.0,C
44.0,3.0,6.0,F
77.0,4.0,6.0,G
4.0,5.0,6.0,B
27.0,6.0,6.0,D
47.0,7.0,6.0,E
76.0,8.0,6.0,H
8.0,1.0,7.0,B
72.0,2.0,7.0,G
13.0,3.0,7.0,C
57.0,4.0,7.0,F
4.0,5.0,7.0,A
81.0,6.0,7.0,H
20.0,7.0,7.0,D
61.0,8.0,7.0,E
80.0,1.0,8.0,G
114.0,2.0,8.0,F
39.0,3.0,8.0,D
14.0,4.0,8.0,B
86.0,5.0,8.0,H
55.0,6.0,8.0,E
3.0,7.0,8.0,A
19.0,8.0,8.0,C
